None,A,C,E+F+G,E+F,E+G,F+G,ignore,ignore,ignore,perfect
22,20,20,20,20,20,20,-1,-1,-1,20
34,33,30,30,30,30,30,-1,-1,-1,26
31,27,22,22,22,22,22,-1,-1,-1,22
29,23,23,23,23,23,23,-1,-1,-1,23
30,21,18,18,18,18,18,-1,-1,-1,18
38,28,22,22,22,22,22,-1,-1,-1,22
28,22,22,22,22,22,22,-1,-1,-1,22
32,31,26,23,26,23,23,-1,-1,-1,19
30,23,20,20,20,20,20,-1,-1,-1,20
26,22,20,20,20,20,20,-1,-1,-1,20
41,35,35,31,31,31,31,-1,-1,-1,31
33,23,23,20,20,20,20,-1,-1,-1,20
46,35,29,28,28,28,28,-1,-1,-1,27
27,25,21,21,21,21,21,-1,-1,-1,21
40,38,33,33,33,33,33,-1,-1,-1,25
24,22,22,22,22,22,22,-1,-1,-1,22
35,34,34,22,24,22,22,-1,-1,-1,21
37,40,31,29,29,29,29,-1,-1,-1,29
36,25,24,23,23,23,23,-1,-1,-1,21
38,38,24,24,24,24,24,-1,-1,-1,24
31,30,26,26,26,26,26,-1,-1,-1,21
33,30,22,19,19,19,19,-1,-1,-1,19
24,21,20,20,20,20,20,-1,-1,-1,20
35,22,20,20,20,20,20,-1,-1,-1,20
46,45,30,30,30,30,30,-1,-1,-1,30
27,21,19,19,19,19,19,-1,-1,-1,19
26,22,22,22,22,22,22,-1,-1,-1,22
20,19,19,19,19,19,19,-1,-1,-1,19
-1,57,37,36,37,36,36,-1,-1,-1,36
25,25,23,23,23,23,23,-1,-1,-1,21
52,46,50,42,42,42,42,-1,-1,-1,26
43,40,35,34,34,34,34,-1,-1,-1,34
32,30,21,21,21,21,21,-1,-1,-1,21
38,33,28,25,25,28,25,-1,-1,-1,20
32,21,19,19,19,19,19,-1,-1,-1,19
31,29,29,24,24,27,24,-1,-1,-1,24
21,19,19,19,19,19,19,-1,-1,-1,19
50,41,43,23,23,29,23,-1,-1,-1,23
34,32,19,19,19,19,19,-1,-1,-1,19
32,27,25,25,25,25,25,-1,-1,-1,25
54,29,28,28,28,28,28,-1,-1,-1,28
33,26,28,25,25,25,25,-1,-1,-1,23
34,34,23,23,23,23,23,-1,-1,-1,23
29,29,19,19,19,19,19,-1,-1,-1,19
36,26,23,23,23,23,23,-1,-1,-1,21
34,21,19,19,19,19,19,-1,-1,-1,19
32,30,22,22,22,22,22,-1,-1,-1,22
25,19,18,18,18,18,18,-1,-1,-1,18
-1,30,31,31,31,32,32,-1,-1,-1,29
27,23,21,21,21,21,21,-1,-1,-1,21
20,18,18,18,18,18,18,-1,-1,-1,18
41,36,36,36,36,36,36,-1,-1,-1,36
28,24,23,23,23,23,23,-1,-1,-1,23
25,23,23,21,21,21,21,-1,-1,-1,21
39,38,28,20,20,20,20,-1,-1,-1,20
